nodeId,nodeName,embedding
0,5.0,"[0.08314147591590881, -0.00793769583106041]"
3,null,"[0.08300710469484329, 0.24637889862060547]"
4,null,"[0.08296231180429459, -0.1688489019870758]"
17,null,"[0.0811258926987648, -0.19318878650665283]"
18,null,"[0.08108110725879669, -0.1084165871143341]"
19,2.0,"[0.08085715025663376, -0.18455559015274048]"
20,2.0,"[0.08081235736608505, -0.09978339821100235]"
21,2.0,"[0.08094673603773117, 0.14590001106262207]"
22,2.0,"[0.08090195059776306, 0.2306722104549408]"
23,2.0,"[0.08067798614501953, 0.15453319251537323]"
24,2.0,"[0.08063319325447083, 0.23930539190769196]"
25,2.0,"[0.08076757937669754, -0.015011191368103027]"
26,2.0,"[0.08072278648614883, 0.0697610080242157]"
27,2.0,"[0.08193213492631912, -0.2190883457660675]"
28,2.0,"[0.08188734203577042, -0.13431614637374878]"
29,3.0,"[0.08202170580625534, 0.11136725544929504]"
30,3.0,"[0.08197691291570663, 0.19613945484161377]"
31,3.0,"[0.0817529708147049, 0.1200004369020462]"
32,3.0,"[0.08170817792415619, 0.20477263629436493]"
33,3.0,"[0.08184254169464111, -0.04954395070672035]"
34,3.0,"[0.081797756254673, 0.03522824868559837]"
35,3.0,"[0.08157380670309067, -0.040910761803388596]"
36,3.0,"[0.08152900636196136, 0.04386143758893013]"
37,4.0,"[0.08166338503360748, -0.21045516431331635]"
38,4.0,"[0.08161859214305878, -0.12568296492099762]"
39,4.0,"[0.08139464259147644, -0.201821967959404]"
40,4.0,"[0.08134984970092773, -0.11704976856708527]"
41,4.0,"[0.08148422092199326, 0.12863363325595856]"
42,4.0,"[0.08143943548202515, 0.21340583264827728]"
43,4.0,"[0.07978218048810959, -0.15002283453941345]"
44,5.0,"[0.07973738759756088, -0.06525064259767532]"
45,5.0,"[0.0798717588186264, 0.1804327666759491]"
46,5.0,"[0.0798269659280777, -0.23479503393173218]"
47,5.0,"[0.07960301637649536, 0.18906594812870026]"
48,5.0,"[0.07955823093652725, -0.22616185247898102]"
70,5.0,"[0.08018528670072556, 0.08702737838029861]"